 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2010,ABBOTT LABORATORIES,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.03,-0.14,"-924,268,961","-510,639,809","-133,293","-6,608,704","-1,543,789","-21,864","-92,901","-405,241,186","12,585",2%
2019,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology,Research and development (73),-0.01,-0.02,"-237,216,849","-219,258,495","-49,003","-2,666,022","-608,738","-8,659","-43,876","-14,574,248","-7,808",22%
2018,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology,Research and development (73),-0.01,-0.03,"-237,630,069","-221,008,937","-49,421","-2,693,158","-615,351","-8,739","-43,200","-13,203,576","-7,688",22%
2017,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology,Research and development (73),-0.01,-0.02,"-232,689,513","-216,433,327","-48,530","-2,666,406","-611,303","-8,612","-37,216","-12,877,497","-6,623",20%
2016,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology,Research and development (73),-0.01,-0.02,"-233,776,093","-215,905,117","-48,497","-2,678,759","-615,462","-8,626","-33,815","-14,479,798","-6,018",18%
2015,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.01,-0.04,"-331,053,750","-213,921,268","-53,594","-2,606,687","-611,214","-8,602","-29,958","-113,813,074","-9,354",7%
2014,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.02,-0.08,"-316,366,214","-212,452,688","-54,616","-2,623,897","-615,761","-8,693","-24,157","-100,580,459","-5,943",6%
2013,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.02,-0.05,"-321,789,117","-204,343,853","-53,889","-2,536,534","-595,548","-8,459","-20,741","-114,226,386","-3,707",5%
2012,ABBVIE INC,UNITED STATES OF AMERICA,Biotechnology, Research and development (73) ,-0.02,-0.06,"-377,764,048","-211,324,362","-55,866","-2,627,878","-616,213","-8,756","-20,931","-163,106,452","-3,591",4%
2017,ABERCROMBIE & FITCH  -CL A,UNITED STATES OF AMERICA,Apparel Retail,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",-0.01,-0.33,"-28,261,074","-27,645,962","-6,797","-367,982","-86,223","-1,204","-2,715","-151,606","1,415",6%
2013,ABERCROMBIE & FITCH  -CL A,UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.21,"-38,685,989","-37,844,764","-9,128","-503,622","-118,024","-1,628","-2,710","-207,525","1,412",4%
2012,ABERCROMBIE & FITCH  -CL A,UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.11,"-40,811,031","-39,923,610","-9,627","-531,284","-124,507","-1,717","-2,843","-218,925","1,482",4%
2011,ABERCROMBIE & FITCH  -CL A,UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.15,"-40,659,629","-39,775,266","-9,644","-529,343","-124,046","-1,717","-3,132","-218,114","1,632",5%
2010,ABERCROMBIE & FITCH  -CL A,UNITED STATES OF AMERICA,Apparel Retail," Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52) ",-0.01,-0.15,"-39,879,551","-39,012,952","-9,281","-519,086","-121,661","-1,664","-2,053","-213,924","1,070",3%
2017,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services,Real estate activities (70),0.00,-0.14,"-14,879,332","-14,577,301","-3,798","-178,909","-41,669",-639,"-4,771","-73,248","1,003",25%
2016,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,0.00,-0.16,"-17,417,467","-17,059,210","-4,339","-212,765","-49,623",-740,"-4,501","-87,234",946,21%
2015,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,0.00,-0.24,"-17,560,318","-17,197,887","-4,347","-215,388","-50,252",-744,"-4,253","-88,342",894,20%
2014,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,0.00,-0.14,"-17,998,321","-17,625,406","-4,423","-221,784","-51,764",-761,"-4,026","-91,003",846,19%
2013,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,0.00,-0.15,"-18,248,485","-17,867,827","-4,426","-226,683","-52,944",-767,"-3,492","-93,080",734,17%
2012,ABM INDUSTRIES INC,UNITED STATES OF AMERICA,Environmental & Facilities Services, Real estate activities (70) ,0.00,-0.18,"-18,459,150","-18,072,931","-4,451","-230,128","-53,765",-774,"-3,263","-94,524",686,15%
2018,ACCO BRANDS CORP,UNITED STATES OF AMERICA,Office Services & Supplies,Other service activities (93),-1.91,-17.86,"-3,714,762,390","-3,634,191,196","-831,273","-48,332,234","-11,330,732","-151,277","-1,867","-19,924,384",573,0%
2017,ACCO BRANDS CORP,UNITED STATES OF AMERICA,Office Services & Supplies,Other service activities (93),-1.75,-15.87,"-3,408,071,352","-3,334,152,320","-762,659","-44,341,814","-10,395,186","-138,789","-1,874","-18,279,285",575,0%
2015,ACCO BRANDS CORP,UNITED STATES OF AMERICA,Office Services & Supplies, Other service activities (93) ,0.00,-0.03,"-4,155,755","-3,979,761","-1,049","-51,951","-11,697",-179,"-1,431","-110,127",439,22%
2018,ADOBE INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.00,-0.01,"-20,119,807","-18,390,141","-5,630","-243,124","-56,078",-926,"-11,207","-1,417,166","4,466",22%
2017,ADOBE INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.00,-0.01,"-22,574,673","-22,082,382","-6,202","-292,509","-67,832","-1,049","-9,062","-119,248","3,611",17%
2016,ADOBE INC,UNITED STATES OF AMERICA,Application Software,Computer and related activities (72),0.00,-0.01,"-20,695,253","-20,244,250","-5,553","-268,296","-62,303",-947,"-7,266","-109,532","2,895",16%
2015,ADOBE INC,UNITED STATES OF AMERICA,Application Software, Computer and related activities (72) ,0.00,-0.01,"-12,910,087","-12,628,335","-3,642","-167,181","-38,707",-611,"-5,931","-68,044","2,363",19%
2014,ADOBE INC,UNITED STATES OF AMERICA,Application Software, Computer and related activities (72) ,0.00,-0.03,"-11,778,733","-11,521,868","-3,238","-152,620","-35,391",-547,"-4,740","-62,217","1,889",18%
2018,ADTRAN HOLDINGS INC,UNITED STATES OF AMERICA,Communications Equipment,"Manufacture of radio, television and communication equipment and apparatus (32)",-0.01,NA,"-7,407,447","-6,494,673","-1,604","-87,188","-20,161",-284,-778,"-803,161",401,7%
2019,ADVANCE AUTO PARTS INC,UNITED STATES OF AMERICA,Automotive Retail,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",-0.01,-0.19,"-140,536,391","-137,483,000","-32,735","-1,828,795","-428,618","-5,866","-7,545","-753,665","3,833",3%
2015,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.02,NA,"-63,549,295","-60,809,913","-15,425","-787,337","-182,462","-2,661","-637,519","-1,118,281","4,303",16%
2014,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-0.44,"-62,652,737","-59,485,447","-15,530","-763,967","-176,411","-2,641","-808,846","-1,405,355","5,459",19%
2013,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-0.74,"-64,629,673","-61,514,173","-15,774","-794,055","-183,774","-2,706","-716,349","-1,407,676","4,835",17%
2012,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-1.97,"-61,157,349","-59,377,136","-15,363","-764,529","-176,742","-2,624","-749,210","-76,801","5,056",18%
2011,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-0.14,"-63,692,525","-55,903,873","-15,230","-709,012","-162,800","-2,536","-1,026,789","-5,879,214","6,930",23%
2010,ADVANCED MICRO DEVICES,UNITED STATES OF AMERICA,Semiconductors, Manufacture of electrical machinery and apparatus n.e.c. (31) ,-0.01,-0.10,"-56,307,311","-48,380,614","-13,446","-609,849","-139,641","-2,218","-1,000,175","-6,168,118","6,750",25%
2018,ADVANSIX INC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.40,-6.45,"-601,123,585","-544,893,708","-125,202","-7,171,915","-1,677,736","-22,593","-953,012","-46,278,277","-1,142",3%
2017,ADVANSIX INC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.40,-3.88,"-595,516,728","-539,456,188","-123,943","-7,101,567","-1,661,340","-22,369","-927,982","-46,222,227","-1,112",3%
2016,ADVANSIX INC,UNITED STATES OF AMERICA,Commodity Chemicals,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",-0.48,-10.63,"-572,901,667","-511,937,043","-117,539","-6,749,613","-1,579,518","-21,240","-749,537","-51,746,279",-898,3%
2019,AECOM,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.00,-0.07,"-47,593,247","-46,554,076","-10,362","-631,187","-142,814","-1,912","-1,866","-251,130",100,4%
2018,AECOM,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.00,-0.11,"-57,666,963","-56,409,298","-12,616","-762,247","-173,546","-2,322","-1,865","-305,169",100,3%
2017,AECOM,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.00,-0.11,"-60,570,012","-59,250,044","-13,293","-798,864","-182,630","-2,443","-1,684","-321,144",90,3%
2016,AECOM,UNITED STATES OF AMERICA,Construction & Engineering,Construction (45),0.00,-0.14,"-74,297,493","-72,680,046","-16,376","-977,005","-224,598","-3,003","-1,611","-394,941",86,2%
2015,AECOM,UNITED STATES OF AMERICA,Construction & Engineering, Construction (45) ,-0.01,-0.25,"-106,783,840","-104,461,653","-23,639","-1,399,879","-323,658","-4,325","-1,640","-569,133",88,1%
2013,AECOM,UNITED STATES OF AMERICA,Construction & Engineering, Construction (45) ,0.00,-0.06,"-22,285,505","-21,799,755","-4,887","-294,091","-67,162",-898,-645,"-118,101",35,3%
2012,AECOM,UNITED STATES OF AMERICA,Construction & Engineering, Construction (45) ,0.00,-0.08,"-27,689,801","-27,086,752","-6,093","-364,543","-83,621","-1,118",-667,"-147,042",36,2%
2011,AECOM,UNITED STATES OF AMERICA,Construction & Engineering, Construction (45) ,0.00,-0.03,"-12,256,017","-11,987,279","-2,621","-164,513","-36,386",-488,-789,"-63,983",42,6%
2019,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders,Production of electricity by hydro,-1.38,-6.60,"-14,067,306,816","-12,620,566,518","-3,761,895","-165,820,360","-39,026,737","-582,563","-557,497","-1,238,273,554","1,282,308",1%
2016,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders,Production of electricity by hydro,-1.50,-9.12,"-20,351,725,572","-18,603,100,636","-5,607,594","-244,803,064","-57,616,492","-866,784","-743,366","-1,441,091,855","2,104,219",0%
2015,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders, Production of electricity by hydro ,-1.40,-7.80,"-20,916,533,641","-17,784,203,596","-5,619,178","-232,578,773","-54,841,115","-837,412","-797,155","-2,839,785,990","2,129,578",0%
2014,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders, Production of electricity by hydro ,-1.18,-6.99,"-20,158,325,936","-16,261,884,836","-5,955,794","-208,735,844","-49,534,822","-798,249","-824,458","-3,633,056,907","2,464,973",0%
2013,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders, Production of electricity by hydro ,-1.28,-6.81,"-20,400,943,350","-16,715,089,997","-5,794,198","-216,609,412","-51,307,755","-809,328","-408,921","-3,413,295,964","2,372,223",0%
2012,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders, Production of electricity by hydro ,-1.22,-6.53,"-22,164,689,445","-18,296,532,046","-6,185,237","-238,136,010","-56,279,948","-884,198","-765,111","-3,568,559,542","2,652,647",0%
2011,AES CORP (THE),UNITED STATES OF AMERICA,Independent Power Producers & Energy Traders, Production of electricity by hydro ,-1.93,-8.73,"-33,424,630,459","-16,721,070,684","-5,850,448","-217,273,103","-51,431,432","-819,740","-472,411","-16,430,374,912","2,662,272",0%
2019,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),0.00,0.02,"19,182,214","18,761,303","-7,175","241,268","59,847",-529,"-6,810","99,015","35,294",11%
2018,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),0.00,0.01,"6,482,628","7,054,184","-7,439","93,482","24,921",-732,"-6,481","-703,066","27,760",11%
2017,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),0.00,0.01,"7,924,247","10,660,030","-7,401","135,000","34,488",-680,"-5,898","-2,921,573","30,282",9%
2016,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services,Research and development (73),0.00,0.01,"5,508,169","6,264,743","-6,931","80,515","21,486",-690,"-5,542","-871,102","25,690",10%
2015,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,0.00,0.03,"16,483,193","17,209,446","-7,754","211,232","52,253",-631,"-5,292","-1,012,205","36,143",8%
2013,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.05,"-50,209,826","-45,166,834","-10,135","-558,042","-128,050","-1,800","-7,486","-4,336,146","-1,332",18%
2012,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.04,"-45,738,448","-42,459,729","-9,507","-520,193","-119,056","-1,684","-7,810","-2,619,078","-1,390",21%
2011,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.05,"-53,808,591","-42,785,351","-9,560","-519,747","-118,640","-1,689","-8,648","-10,363,418","-1,539",20%
2010,AGILENT TECHNOLOGIES INC,UNITED STATES OF AMERICA,Life Sciences Tools & Services, Research and development (73) ,-0.01,-0.09,"-53,723,962","-43,040,476","-9,664","-533,174","-122,442","-1,718","-6,887","-10,008,375","-1,226",16%
2019,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases,Chemicals nec,-1.09,-4.57,"-9,697,339,528","-8,427,790,829","-1,934,560","-112,273,791","-26,226,271","-351,679","-479,540","-1,128,321,864","39,006",11%
2018,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases,Chemicals nec,-1.04,-4.83,"-9,260,460,321","-8,401,590,435","-1,934,495","-111,695,382","-26,184,630","-351,096","-480,147","-718,262,331","38,196",0%
2017,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases,Chemicals nec,-1.17,-5.76,"-9,571,002,108","-8,854,960,896","-2,033,526","-117,946,977","-27,564,100","-369,604","-440,220","-567,728,387","41,601",0%
2016,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases,Chemicals nec,-1.05,-4.67,"-9,987,756,335","-9,304,328,942","-2,141,095","-123,695,742","-28,998,091","-388,680","-512,095","-527,730,237","38,547",0%
2015,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-1.03,-5.45,"-10,194,409,570","-9,301,402,864","-2,141,663","-123,658,956","-28,989,251","-388,699","-526,938","-737,343,498","42,299",0%
2014,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-0.90,-5.83,"-9,355,556,571","-8,448,743,591","-1,945,291","-112,315,039","-26,329,740","-353,035","-511,763","-765,395,708","37,597",0%
2013,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-0.86,-5.81,"-8,763,993,328","-7,946,044,636","-1,830,402","-105,640,917","-24,764,384","-332,130","-461,372","-684,957,535","38,047",0%
2012,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-0.90,-5.83,"-8,628,995,942","-7,822,914,833","-1,794,870","-104,208,517","-24,342,742","-326,307","-443,974","-674,997,245","32,546",0%
2011,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-0.78,-4.82,"-7,845,972,596","-7,496,116,485","-1,721,633","-99,887,754","-23,316,382","-312,866","-511,278","-224,144,972","38,775",1%
2010,AIR PRODUCTS & CHEMICALS INC,UNITED STATES OF AMERICA,Industrial Gases, Chemicals nec ,-1.02,-6.42,"-9,184,651,316","-7,314,932,546","-1,682,200","-97,466,636","-22,759,690","-305,545","-456,121","-1,747,091,359","42,779",0%
2017,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure,Computer and related activities (72),-0.01,-0.09,"-33,778,053","-33,044,498","-7,952","-439,076","-102,685","-1,420","-3,106","-180,554","1,238",5%
2016,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure,Computer and related activities (72),-0.01,-0.07,"-33,294,780","-32,571,766","-7,818","-432,816","-101,233","-1,397","-2,904","-178,003","1,157",5%
2015,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.01,-0.06,"-28,661,483","-28,039,020","-6,758","-372,556","-87,121","-1,206","-2,718","-153,188","1,083",5%
2014,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.01,-0.05,"-26,781,949","-26,200,392","-6,277","-348,164","-81,441","-1,123","-2,245","-143,202",894,5%
2013,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.02,-0.08,"-32,199,185","-31,500,303","-7,412","-418,730","-98,035","-1,335","-1,641","-172,383",654,3%
2012,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.02,-0.10,"-30,361,606","-29,702,624","-6,983","-394,840","-92,446","-1,258","-1,495","-162,556",596,3%
2011,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.02,-0.10,"-28,775,113","-28,150,557","-6,621","-374,205","-87,613","-1,192","-1,443","-154,057",575,3%
2010,AKAMAI TECHNOLOGIES INC,UNITED STATES OF AMERICA,Internet Services & Infrastructure, Computer and related activities (72) ,-0.02,-0.09,"-23,254,979","-22,750,231","-5,353","-302,416","-70,803",-964,"-1,186","-124,499",472,3%
2019,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.30,-2.40,"-2,640,409,987","-2,583,705,871","-618,219","-33,968,255","-7,866,449","-110,732","-420,385","-13,831,827","111,751",5%
2017,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.30,-1.72,"-2,386,321,399","-2,334,548,710","-560,485","-30,699,448","-7,109,404","-100,270","-379,787","-13,029,945","106,650",5%
2016,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines,Air transport (62),-0.27,-1.10,"-1,624,234,731","-1,588,841,347","-382,930","-20,868,719","-4,826,842","-68,414","-283,943","-9,041,316","78,780",5%
2015,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.28,-1.14,"-1,547,237,155","-1,513,335,184","-362,399","-19,878,197","-4,599,574","-64,899","-262,737","-8,801,806","67,641",5%
2014,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.27,-1.50,"-1,434,391,530","-1,403,587,545","-336,409","-18,453,356","-4,273,102","-60,220","-229,891","-7,513,518","62,510",5%
2013,ALASKA AIR GROUP INC,UNITED STATES OF AMERICA,Airlines, Air transport (62) ,-0.27,-1.55,"-1,376,727,420","-1,347,137,479","-323,119","-17,729,170","-4,108,912","-57,819","-205,623","-7,224,824","59,526",4%
2018,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.09,-0.43,"-298,054,698","-260,603,715","-81,800","-3,409,417","-772,480","-11,646","-181,460","-33,011,140","16,960",4%
2017,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals,Chemicals nec,-0.11,-0.57,"-332,608,546","-291,024,472","-88,291","-3,795,787","-866,912","-12,757","-165,170","-36,666,968","11,813",3%
2016,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.12,-0.66,"-334,257,930","-290,867,841","-101,164","-3,738,386","-862,092","-13,377","-143,944","-38,553,982","22,856",3%
2015,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.09,-0.53,"-310,478,380","-273,458,190","-71,993","-3,673,893","-825,380","-11,936","-194,446","-32,260,185","17,644",13%
2014,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.10,-0.78,"-255,282,140","-266,292,204","-68,393","-3,571,134","-814,967","-11,623","-119,891","15,579,972","16,100",5%
2013,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.12,-0.50,"-307,428,002","-309,103,990","-93,991","-4,048,049","-934,152","-13,878","-118,575","6,863,553","21,081",2%
2012,ALBEMARLE CORP,UNITED STATES OF AMERICA,Specialty Chemicals, Chemicals nec ,-0.13,-0.68,"-353,594,263","-310,556,369","-91,879","-4,081,085","-939,324","-13,837","-126,814","-37,804,619","19,662",2%
